title,authors,pdf_link,code_url,conference_name
Smoothed Dilated Convolutions for Improved Dense Prediction,Zhengyang Wang ; Shuiwang Ji,,,KDD 2018
Discovering Non-Redundant K-means Clusterings in Optimal Subspaces,Dominik Mautz ; Wei Ye ; Claudia Plant ; Christian B,,,KDD 2018
Trajectory-driven Influential Billboard Placement,Ping Zhang ; Zhifeng Bao ; Yuchen Li ; Guoliang Li ; Yipeng Zhang ; Zhiyong Peng,,,KDD 2018
Multi-Type Itemset Embedding for Learning Behavior Success,Daheng Wang ; Meng Jiang ; Qingkai Zeng ; Zachary Eberhart ; Nitesh Chawla,,,KDD 2018
STAMP: Short-Term Attention/Memory Priority Model for Session-based Recommendation,Qiao Liu ; Yifu Zeng ; Refuoe Mokhosi ; Haibin Zhang,,,KDD 2018
Calibrated Multi-Task Learning,Feiping Nie ; Zhanxuan Hu ; Xuelong Li,,,KDD 2018
Unlearn What You Have Learned: Adaptive Crowd Teaching with Exponentially Decayed Memory Learners,Yao Zhou ; Arun Reddy Nelakurthi ; Jingrui He,,,KDD 2018
Interactive Paths Embedding for Semantic Proximity Search on Heterogeneous Graphs,Zemin Liu ; Vincent W. Zheng ; Zhou Zhao ; Zhao Li ; Hongxia Yang ; Minghui Wu ; Jing Ying,,,KDD 2018
Scalable Active Learning by Approximated Error Reduction,Weijie Fu ; Meng Wang ; Shijie Hao ; Xindong Wu,,,KDD 2018
R2SDH: Robust Rotated Supervised Discrete Hashing,Jie Gui ; Ping Li,,,KDD 2018
Learning Adversarial Networks for Semi-Supervised Text Classification via Policy Gradient,Yan Li ; Jieping Ye,,,KDD 2018
Multi-view Adversarially Learned Inference for Cross-domain Joint Distribution Matching,Changying Du ; Changde Du ; Xingyu Xie ; Chen Zhang ; Hao Wang,,,KDD 2018
Disturbance Grassmann Kernels for Subspace-Based Learning,Junyuan Hong ; Huanhuan Chen ; Feng Lin,,,KDD 2018
Finding Similar Exercises with a Unified Semantic Representation,Qi Liu ; Zai Huang ; Zhenya Huang ; Chuanren Liu ; Enhong Chen ; Yu Su ; Guoping Hu,,,KDD 2018
Supervised Reinforcement Learning with Recurrent Neural Network for Dynamic Treatment Recommendation,Lu Wang ; Wei Zhang ; Xiaofeng He ; Hongyuan Zha,,,KDD 2018
Transcribing Content from Structural Images with Spotlight Mechanism,Yu Yin ; Zhenya Huang ; Enhong Chen ; Qi Liu ; Fuzheng Zhang ; Xing Xie ; Guoping Hu,,,KDD 2018
StockAssIstant: A Stock AI Assistant for Reliability Modeling of Stock Comments,Chen Zhang ; Hao Wang ; Changying Du ; Yijun Wang ; Can Chen ; Hongzhi Yin,,,KDD 2018
Leveraging Meta-path based Context for Top N recommendation with Co-attention mechanism,Binbin Hu ; Chuan Shi ; Xin Zhao ; Philip S. Yu,,,KDD 2018
Subspace Network: Deep Multi-Task Censored Regression for Modeling Neurodegenerative Diseases,Mengying Sun ; Inci M. Baytas ; Liang Zhan ; Zhangyang Wang ; Jiayu Zhou,,,KDD 2018
Learning Dynamics of Decision Boundaries without Additional Labeled Data,Atsutoshi Kumagai ; Tomoharu Iwata,,,KDD 2018
Arbitrary-Order Proximity Preserved Network Embedding,Ziwei Zhang ; Peng Cui ; Xiao Wang ; Jian Pei ; Xuanrong Yao ; Wenwu Zhu,,,KDD 2018
Scalable k-Means Clustering via Lightweight Coresets,Olivier Bachem ; Mario Lucic ; Andreas Krause,,,KDD 2018
Voxel Deconvolutional Networks for 3D Brain Image Labeling,Yongjun Chen ; Hongyang Gao ; Lei Cai ; Min Shi ; Dinggang Shen ; Shuiwang Ji,,,KDD 2018
Count-Min: Optimal Estimation and Tight Error Bounds using Empirical Error Distributions,Daniel Ting,,,KDD 2018
Metric Learning from Probabilistic Labels,Mengdi Huai ; Chenglin Miao ; Yaliang Li ; Qiuling Suo ; Lu Su ; Aidong Zhang,,,KDD 2018
TextTruth: An Unsupervised Approach to Discover Trustworthy Information from Multi-Sourced Text Data,Hengtong Zhang ; Yaliang Li ; Fenglong Ma ; Jing Gao ; Lu Su,,,KDD 2018
HeavyGuardian: Separate and Guard Hot Items in Data Streams,Tong Yang ; Junzhi Gong ; Haowei Zhang ; Lei Zou ; Lei Shi ; Xiaoming Li,,,KDD 2018
Can Who-Edits-What Predict Edit Survival?,"Ali Batuhan Yardim ; Victor Kristof , Lucas Maystre , Matthias Grossglauser",,,KDD 2018
Graph Classification using Structural Attention,John Boaz Lee ; Ryan Rossi ; Xiangnan Kong,,,KDD 2018
Opinion Dynamics with Varying Susceptibility to Persuasion,Rediet Abebe ; Jon Kleinberg ; David Parkes ; Charalampos Tsourkakis,,,KDD 2018
Efficient Attribute Recommendation with Probabilistic Guarantee,Chi Wang ; Kaushik Chakrabarti,,,KDD 2018
You Are How You Drive: Peer and Temporal-Aware Representation Learning for Driving Behavior Analysis,Pengyang Wang ; Yanjie Fu ; Jiawei Zhang ; Pengfei Wang ; Yu Zheng ; Charu Aggarwal,,,KDD 2018
Simultaneous Urban Region Function Discovery and Popularity Estimation Via an Infinite Urbanization,Bang Zhang ; Lelin Zhang ; Ting Guo ; Yang Wang ; Fang Chen,,,KDD 2018
MiSoSouP: Mining Interesting Subgroups with Sampling and Pseudodimension,Matteo Riondato ; Fabio Vandin,,,KDD 2018
NetLSD: Hearing the Shape of a Graph,Anton Tsitsulin ; Davide Mottin ; Panagiotis Karras ; Alexander Bronstein ; Emmanuel Müller,,,KDD 2018
Efficient Large-Scale Fleet Management via Multi-Agent Deep Reinforcement Learning,Kaixiang Lin ; Renyu Zhao ; Zhe Xu ; Jiayu Zhou,,,KDD 2018
A Dual Markov Chain Topic Model for Dynamic Environments,Ayan Acharya ; Joydeep Ghosh ; Mingyuan Zhou,,,KDD 2018
An Efficient Two-Layer Mechanism for Privacy-Preserving Truth Discovery,Yaliang Li ; Chenglin Miao ; Lu Su ; Jing Gao ; Qi Li ; Bolin Ding ; Zhan Qin ; Kui Ren,,,KDD 2018
SUSTain: Scalable Unsupervised Scoring for Tensors and its Application to Phenotyping,Ioakeim Perros ; Evangelos Papalexakis ; Haesun Park ; Richard Vuduc ; Xiaowei Yan ; Christopher Defilippi ; Walter F. Stewart ; Jimeng Sun,,,KDD 2018
Learning Deep Network Representations with Adversarially Regularized Autoencoders,Wenchao Yu ; Cheng Zheng ; Wei Cheng ; Charu Aggarwal ; Dongjin Song ; Bo Zong ; Haifeng Chen ; Wei Wang,,,KDD 2018
FASTEN: Fast Sylvester Equation Solver for Graph Mining,Boxin Du ; Hanghang Tong,,,KDD 2018
TINET: Learning Invariant Networks via Knowledge Transfer,Chen Luo ; Zhengzhang Chen ; Lu-An Tang ; Anshumali Shrivastava ; Zhichun Li ; Haifeng Chen ; Jieping Ye,,,KDD 2018
Modeling Task Relationships in Multi-task Learning with Multi-gate Mixture-of-Experts,Jiaqi Ma ; Zhe Zhao ; Xinyang Yi ; Jilin Chen ; Lichan Hong ; Ed Chi,,,KDD 2018
Towards Mitigating the Class-Imbalance Problem for Partial Label Learning,Jing Wang ; Min-Ling Zhang,,,KDD 2018
Exploring the Urban Region-of-Interest through the Analysis of Online Map Search Queries,Ying Sun ; Hengshu Zhu ; Fuzhen Zhuang ; Jingjing Gu ; Qing He,,,KDD 2018
Complex Object Classification: A Multi-Modal Multi-Instance Multi-Label Deep Network with Optimal Tr,Yang Yang ; Yi-Feng Wu ; De-Chuan Zhan ; Zhi-Bin Liu ; Yuan Jiang,,,KDD 2018
New Robust Metric Learning Model Using Maximum Correntropy Criterion,Jie Xu ; Lei Luo ; Cheng Deng ; Heng Huang,,,KDD 2018
TruePIE: Discovering Reliable Patterns in Pattern-Based Information Extraction,Qi Li ; Meng Jiang ; Xikun Zhang ; Meng Qu ; Timothy Hanratty ; Jing Gao ; Jiawei Han,,,KDD 2018
Network Connectivity Optimization: Fundamental Limits and Effective Algorithms,Chen Chen ; Ruiyue Peng ; Lei Ying ; Hanghang Tong,,,KDD 2018
Risk Prediction on Electronic Healthcare Records with Prior Medical Knowledge,Fenglong Ma ; Jing Gao ; Qiuling Suo ; Quanzeng You ; Jing Zhou ; Aidong Zhang,,,KDD 2018
Ranking Distillation: Learning Compact Ranking Models With High Performance for Recommender System,Jiaxi Tang ; Ke Wang,,,KDD 2018
xDeepFM: Combining Explicit and Implicit Feature Interactions for Recommender Systems,Jianxun Lian ; Xiaohuan Zhou ; Fuzheng Zhang ; Zhongxia Chen ; Xing Xie ; Guangzhong Sun,,,KDD 2018
NetWalk: A Flexible Deep Embedding Approach for Anomaly Detection in Dynamic Networks,Wenchao Yu ; Wei Cheng ; Charu Aggarwal ; Kai Zhang ; Haifeng Chen ; Wei Wang,,,KDD 2018
Cost-Effective Training of Deep CNNs with Active Model Adaptation,Sheng-Jun Huang ; Jia-Wei Zhao ; Zhao-Yang Liu,,,KDD 2018
Adversarial Detection with Model Interpretation,Ninghao Liu ; Hongxia Yang ; Xia Hu,,,KDD 2018
Offline Evaluation of Ranking Policies with Click Models,Shuai Li ; Yasin Abbasi-Yadkori ; Branislav Kveton ; S. Muthukrishnan ; Vishwa Vinay ; Zheng Wen,,,KDD 2018
REST: A Reference-based Framework for Spatio-temporal Trajectory Compression,Yan Zhao ; Shuo Shang ; Yu Wang ; Bolong Zheng ; Quoc Viet Hung Nguyen ; Kai Zheng,,,KDD 2018
Efficient Similar Region Search with Deep Metric Learning,Yiding Liu ; Kaiqi Zhao ; Gao Cong,,,KDD 2018
High-order Proximity Preserving Information Network Hashing,Defu Lian ; Kai Zheng ; Vincent W. Zheng ; Yong Ge ; Longbing Cao ; Ivor W. Tsang ; Xing Xie,,,KDD 2018
Decoupled Learning for Factorial Marked Temporal Point Processes,Weichang Wu ; Junchi Yan ; Xiaokang Yang ; Hongyuan Zha,,,KDD 2018
R-VQA: Learning Visual Relation Facts with Semantic Attention for Visual Question Answering,Pan Lu ; Lei Ji ; Wei Zhang ; Nan Duan ; Ming Zhou ; Jianyong Wang,,,KDD 2018
