Category,Model Name,Downloads,Link
Audio-Text-to-Text,deepseek-ai/DeepSeek-R1Text Generation•Updated2 days ago•2.67M••8.15k,•,https://huggingface.co/deepseek-ai/DeepSeek-R1
Audio-Text-to-Text,ValueFX9507/Tifa-Deepsex-14b-CoT-GGUF-Q4Reinforcement Learning•Updated3 days ago•40.3k•406,•,https://huggingface.co/ValueFX9507/Tifa-Deepsex-14b-CoT-GGUF-Q4
Audio-Text-to-Text,deepseek-ai/Janus-Pro-7BAny-to-Any•Updated10 days ago•370k•2.84k,•,https://huggingface.co/deepseek-ai/Janus-Pro-7B
Audio-Text-to-Text,Zyphra/Zonos-v0.1-hybridText-to-Speech•Updatedabout 10 hours ago•80•289,•,https://huggingface.co/Zyphra/Zonos-v0.1-hybrid
Audio-Text-to-Text,hexgrad/Kokoro-82MText-to-Speech•Updated9 days ago•300k•3.02k,•,https://huggingface.co/hexgrad/Kokoro-82M
Audio-Text-to-Text,deepseek-ai/DeepSeek-V3Text Generation•Updated18 days ago•1.22M••3.34k,•,https://huggingface.co/deepseek-ai/DeepSeek-V3
Audio-Text-to-Text,simplescaling/s1-32BText Generation•Updatedabout 11 hours ago•5.39k•236,•,https://huggingface.co/simplescaling/s1-32B
Audio-Text-to-Text,unsloth/DeepSeek-R1-GGUFText Generation•Updated2 days ago•792k•697,•,https://huggingface.co/unsloth/DeepSeek-R1-GGUF
Audio-Text-to-Text,"black-forest-labs/FLUX.1-devText-to-Image•UpdatedAug 16, 2024•1.58M••8.62k",•,https://huggingface.co/black-forest-labs/FLUX.1-dev
Audio-Text-to-Text,mistralai/Mistral-Small-24B-Instruct-2501Text Generation•Updated9 days ago•263k••691,•,https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501
Image-Text-to-Text,deepseek-ai/DeepSeek-R1Text Generation•Updated2 days ago•2.67M••8.15k,•,https://huggingface.co/deepseek-ai/DeepSeek-R1
Image-Text-to-Text,ValueFX9507/Tifa-Deepsex-14b-CoT-GGUF-Q4Reinforcement Learning•Updated3 days ago•40.3k•406,•,https://huggingface.co/ValueFX9507/Tifa-Deepsex-14b-CoT-GGUF-Q4
Image-Text-to-Text,deepseek-ai/Janus-Pro-7BAny-to-Any•Updated10 days ago•370k•2.84k,•,https://huggingface.co/deepseek-ai/Janus-Pro-7B
Image-Text-to-Text,Zyphra/Zonos-v0.1-hybridText-to-Speech•Updatedabout 10 hours ago•80•289,•,https://huggingface.co/Zyphra/Zonos-v0.1-hybrid
Image-Text-to-Text,hexgrad/Kokoro-82MText-to-Speech•Updated9 days ago•300k•3.02k,•,https://huggingface.co/hexgrad/Kokoro-82M
Image-Text-to-Text,deepseek-ai/DeepSeek-V3Text Generation•Updated18 days ago•1.22M••3.34k,•,https://huggingface.co/deepseek-ai/DeepSeek-V3
Image-Text-to-Text,simplescaling/s1-32BText Generation•Updatedabout 11 hours ago•5.39k•236,•,https://huggingface.co/simplescaling/s1-32B
Image-Text-to-Text,unsloth/DeepSeek-R1-GGUFText Generation•Updated2 days ago•792k•697,•,https://huggingface.co/unsloth/DeepSeek-R1-GGUF
Image-Text-to-Text,"black-forest-labs/FLUX.1-devText-to-Image•UpdatedAug 16, 2024•1.58M••8.62k",•,https://huggingface.co/black-forest-labs/FLUX.1-dev
Image-Text-to-Text,mistralai/Mistral-Small-24B-Instruct-2501Text Generation•Updated9 days ago•263k••691,•,https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501
Visual Question Answering,deepseek-ai/DeepSeek-R1Text Generation•Updated2 days ago•2.67M••8.15k,•,https://huggingface.co/deepseek-ai/DeepSeek-R1
Visual Question Answering,ValueFX9507/Tifa-Deepsex-14b-CoT-GGUF-Q4Reinforcement Learning•Updated3 days ago•40.3k•406,•,https://huggingface.co/ValueFX9507/Tifa-Deepsex-14b-CoT-GGUF-Q4
Visual Question Answering,deepseek-ai/Janus-Pro-7BAny-to-Any•Updated10 days ago•370k•2.84k,•,https://huggingface.co/deepseek-ai/Janus-Pro-7B
